"filename", "language", "JavaScript", "TypeScript", "JSON", "Markdown", "HTML", "Vue", "SCSS", "comment", "blank", "total"
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\pages\AlbumPage.vue", "Vue", 0, 0, 0, 0, 0, 179, 0, 0, 2, 181
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\pages\HomePage.vue", "Vue", 0, 0, 0, 0, 0, 206, 0, 0, 5, 211
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\pages\LandingPage.vue", "Vue", 0, 0, 0, 0, 0, 103, 0, 0, 5, 108
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\registerGlobalComponents.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\router.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\AccountService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\AlbumService.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\AuthService.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 1, 4, 48
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\AxiosService.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\ChallengeService.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 1, 2, 47
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\CollaboratorService.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\FirebaseService.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\NotificationService.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\PostService.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\QuoteService.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\ResetService.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\services\SocketService.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\utils\FirebaseProvider.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\utils\Logger.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 3, 3, 36
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\utils\Pop.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 19, 3, 56
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\utils\SocketHandler.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 3, 11, 81
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\vite.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"Total", "-", 611, 4, 3219, 105, 20, 2447, 439, 330, 208, 7383
