"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "SCSS", "TypeScript", "CSS", "comment", "blank", "total"
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\controllers\ChallengeController.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\controllers\CollaboratorsController.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\controllers\PostsController.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\controllers\ProfilesController.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\controllers\ValuesController.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 4, 32
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\db\DbConfig.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\db\DbContext.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\handlers\AuthHandler.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 4, 40
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\handlers\AuthTestHandler.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 3, 22
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\handlers\TestHandler.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\main.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 6, 26
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\models\Account.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\models\Album.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\models\Challenge.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\models\Collaborator.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\models\Notification.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\models\Post.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\models\Value.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\AccountService.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 29, 6, 79
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\AlbumsService.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\ChallengeService.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\CollaboratorsService.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\FirebaseService.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 1, 7, 38
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\NotificationService.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 3, 1, 46
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\PostsService.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\ProfileService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 10, 5, 34
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\services\ValuesService.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\utils\AccountValidator.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\utils\BaseController.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\utils\Errors.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\utils\Logger.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 2, 34
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\utils\MongooseHelper.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 15, 4, 58
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\server\utils\SocketHandler.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 5, 3, 40
"Total", "-", 1648, 239, 4548, 71, 358, 76, 14211, 177, 3394, 24722
